filename,width,height,class,xmin,ymin,xmax,ymax
CAM_0003.jpg,960,576,motorcycle,491,297,859,518
CAM_0004.jpg,960,576,motorcycle,327,263,753,486
CAM_0005.jpg,960,576,motorcycle,436,277,823,457
CAM_0008.jpg,960,576,motorcycle,394,324,855,576
CAM_0009.jpg,960,576,motorcycle,100,286,559,544
CAM_0010.jpg,960,576,motorcycle,14,230,443,423
CAM_0011.jpg,960,576,motorcycle,520,227,818,385
CAM_0013.jpg,960,576,motorcycle,35,257,467,452
CAM_0014.jpg,960,576,motorcycle,165,291,659,536
CAM_0016.jpg,960,576,motorcycle,30,290,508,526
CAM_0017.jpg,960,576,motorcycle,199,301,681,550
CAM_0018.jpg,960,576,motorcycle,509,261,872,442
CAM_0019.jpg,960,576,motorcycle,402,270,802,486
CAM_0020.jpg,960,576,motorcycle,202,313,714,576
CAM_0021.jpg,960,576,motorcycle,314,270,706,483
CAM_0022.jpg,960,576,motorcycle,510,293,862,531
CAM_0023.jpg,960,576,motorcycle,442,232,759,386
CAM_0024.jpg,960,576,motorcycle,327,219,660,413
CAM_0025.jpg,960,576,motorcycle,174,281,661,518
CAM_0026.jpg,960,576,motorcycle,136,236,511,446
CAM_0027.jpg,960,576,motorcycle,26,263,502,475
CAM_0028.jpg,960,576,motorcycle,166,256,647,486
CAM_0029.jpg,960,576,motorcycle,27,244,382,466
CAM_0030.jpg,960,576,motorcycle,278,325,730,569
CAM_0031.jpg,960,576,motorcycle,134,250,545,434
CAM_0032.jpg,960,576,motorcycle,129,272,587,498
CAM_0033.jpg,960,576,motorcycle,114,255,565,471
CAM_0035.jpg,960,576,motorcycle,488,307,862,538
CAM_0036.jpg,960,576,motorcycle,183,271,667,487
CAM_0037.jpg,960,576,motorcycle,121,307,589,535
CAM_0038.jpg,960,576,motorcycle,447,267,838,451
CAM_0039.jpg,960,576,motorcycle,308,303,732,576
CAM_0040.jpg,960,576,motorcycle,359,244,711,426
CAM_0042.jpg,960,576,motorcycle,388,248,766,441
CAM_0044.jpg,960,576,motorcycle,251,268,660,463
CAM_0045.jpg,960,576,motorcycle,132,328,671,570
CAM_0046.jpg,960,576,motorcycle,421,258,753,442
CAM_0047.jpg,960,576,motorcycle,369,265,768,473
CAM_0048.jpg,960,576,motorcycle,62,281,519,489
CAM_0049.jpg,960,576,motorcycle,532,258,869,438
CAM_0050.jpg,960,576,motorcycle,414,252,811,452
CAM_0051.jpg,960,576,motorcycle,289,247,705,457
CAM_0052.jpg,960,576,motorcycle,208,272,678,511
CAM_0053.jpg,960,576,motorcycle,260,269,683,488
CAM_0054.jpg,960,576,motorcycle,550,330,780,564
CAM_0055.jpg,960,576,motorcycle,151,304,662,560
CAM_0056.jpg,960,576,motorcycle,301,255,727,449
CAM_0057.jpg,960,576,motorcycle,181,259,620,432
CAM_0058.jpg,960,576,motorcycle,264,252,668,462
CAM_0060.jpg,960,576,motorcycle,138,302,636,552
CAM_0061.jpg,960,576,motorcycle,527,270,855,461
CAM_0062.jpg,960,576,motorcycle,168,257,643,485
CAM_0063.jpg,960,576,motorcycle,58,267,517,468
CAM_0064.jpg,960,576,motorcycle,24,257,464,444
CAM_0065.jpg,960,576,motorcycle,590,305,851,531
CAM_0067.jpg,960,576,motorcycle,405,122,617,262
CAM_0068.jpg,960,576,motorcycle,239,129,371,261
CAM_0069.jpg,960,576,motorcycle,450,123,669,264
CAM_0070.jpg,960,576,motorcycle,280,242,723,459
CAM_0071.jpg,960,576,motorcycle,581,301,891,544
CAM_0072.jpg,960,576,motorcycle,209,231,671,429
CAM_0073.jpg,960,576,motorcycle,337,252,708,452
CAM_0074.jpg,960,576,motorcycle,215,287,677,522
CAM_0075.jpg,960,576,motorcycle,396,284,833,532
CAM_0076.jpg,960,576,motorcycle,23,303,594,530
CAM_0077.jpg,960,576,motorcycle,238,291,733,539
CAM_0078.jpg,960,576,motorcycle,508,134,719,289
CAM_0079.jpg,960,576,motorcycle,308,296,680,570
CAM_0079.jpg,960,576,motorcycle,416,136,484,207
CAM_0080.jpg,960,576,motorcycle,354,276,733,501
CAM_0081.jpg,960,576,motorcycle,310,146,517,317
CAM_0082.jpg,960,576,motorcycle,405,146,603,304
CAM_0083.jpg,960,576,motorcycle,384,118,590,256
CAM_0084.jpg,960,576,motorcycle,400,135,625,292
CAM_0085.jpg,960,576,motorcycle,250,269,693,491
CAM_0086.jpg,960,576,motorcycle,487,322,857,562
CAM_0087.jpg,960,576,motorcycle,226,262,663,485
CAM_0087.jpg,960,576,motorcycle,726,233,960,378
CAM_0088.jpg,960,576,motorcycle,188,215,564,385
CAM_0090.jpg,960,576,motorcycle,266,239,677,446
CAM_0091.jpg,960,576,motorcycle,94,253,526,478
CAM_0092.jpg,960,576,motorcycle,425,289,829,507
CAM_0093.jpg,960,576,motorcycle,291,245,508,475
CAM_0095.jpg,960,576,motorcycle,383,126,591,268
CAM_0096.jpg,960,576,motorcycle,307,132,477,269
CAM_0097.jpg,960,576,motorcycle,401,141,591,320
CAM_0098.jpg,960,576,motorcycle,503,116,678,239
CAM_0099.jpg,960,576,motorcycle,324,145,540,314
CAM_0100.jpg,960,576,motorcycle,417,155,645,336
CAM_0101.jpg,960,576,motorcycle,376,150,602,320
CAM_0102.jpg,960,576,motorcycle,286,141,475,312
CAM_0103.jpg,960,576,motorcycle,363,153,623,313
CAM_0104.jpg,960,576,motorcycle,291,141,531,316
CAM_0105.jpg,960,576,motorcycle,236,151,452,349
CAM_0106.jpg,960,576,motorcycle,265,168,438,353
CAM_0107.jpg,960,576,motorcycle,360,143,567,332
CAM_0108.jpg,960,576,motorcycle,307,135,574,293
CAM_0109.jpg,960,576,motorcycle,389,130,570,278
CAM_0110.jpg,960,576,motorcycle,544,243,893,407
CAM_0111.jpg,960,576,motorcycle,250,326,731,570
CAM_0112.jpg,960,576,motorcycle,257,252,639,449
CAM_0114.jpg,960,576,motorcycle,389,156,585,336
CAM_0115.jpg,960,576,motorcycle,176,307,700,560
CAM_0116.jpg,960,576,motorcycle,539,265,873,470
CAM_0117.jpg,960,576,motorcycle,367,305,680,564
CAM_0119.jpg,960,576,motorcycle,371,318,755,565
CAM_0120.jpg,960,576,motorcycle,244,240,615,425
CAM_0121.jpg,960,576,motorcycle,264,293,709,533
CAM_0122.jpg,960,576,motorcycle,284,306,728,526
CAM_0123.jpg,960,576,motorcycle,116,312,575,506
CAM_0124.jpg,960,576,motorcycle,369,326,804,567
CAM_0125.jpg,960,576,motorcycle,96,282,543,520
CAM_0126.jpg,960,576,motorcycle,144,283,576,512
CAM_0127.jpg,960,576,motorcycle,405,270,761,477
CAM_0128.jpg,960,576,motorcycle,84,256,547,456
CAM_0129.jpg,960,576,motorcycle,367,274,748,490
CAM_0130.jpg,960,576,motorcycle,434,269,790,488
CAM_0131.jpg,960,576,motorcycle,271,325,714,571
CAM_0132.jpg,960,576,motorcycle,448,259,803,441
CAM_0133.jpg,960,576,motorcycle,291,263,723,483
CAM_0134.jpg,960,576,motorcycle,540,324,890,567
CAM_0135.jpg,960,576,motorcycle,323,331,805,560
CAM_0136.jpg,960,576,motorcycle,457,257,689,469
CAM_0137.jpg,960,576,motorcycle,254,302,706,507
CAM_0138.jpg,960,576,motorcycle,362,269,795,485
CAM_0140.jpg,960,576,motorcycle,732,296,934,518
CAM_0141.jpg,960,576,motorcycle,73,169,343,321
CAM_0142.jpg,960,576,motorcycle,208,302,655,548
CAM_0143.jpg,960,576,motorcycle,313,296,779,510
CAM_0145.jpg,960,576,motorcycle,423,339,863,572
CAM_0146.jpg,960,576,motorcycle,321,279,769,486
CAM_0147.jpg,960,576,motorcycle,233,311,658,515
CAM_0148.jpg,960,576,motorcycle,304,309,751,539
CAM_0149.jpg,960,576,motorcycle,538,264,866,485
CAM_0150.jpg,960,576,motorcycle,338,223,657,402
CAM_1002.jpg,960,576,pickup,9,100,956,505
CAM_1003.jpg,960,576,pickup,22,105,955,481
CAM_1004.jpg,960,576,pickup,15,110,940,504
CAM_1005.jpg,960,576,pickup,22,96,918,487
CAM_1006.jpg,960,576,pickup,24,128,907,503
CAM_1007.jpg,960,576,pickup,46,115,923,517
CAM_1008.jpg,960,576,pickup,13,112,911,512
CAM_1009.jpg,960,576,pickup,18,114,908,517
CAM_1010.jpg,960,576,pickup,23,142,939,549
CAM_1011.jpg,960,576,pickup,19,111,927,527
CAM_1013.jpg,960,576,pickup,152,29,888,440
CAM_1014.jpg,960,576,pickup,133,24,895,396
CAM_1015.jpg,960,576,pickup,136,28,788,357
CAM_1016.jpg,960,576,pickup,24,107,868,523
CAM_1017.jpg,960,576,pickup,52,131,941,482
CAM_1018.jpg,960,576,pickup,30,144,952,562
CAM_1019.jpg,960,576,pickup,77,85,937,567
CAM_1020.jpg,960,576,pickup,37,151,920,511
CAM_1021.jpg,960,576,pickup,9,146,927,478
CAM_1022.jpg,960,576,pickup,36,100,936,513
CAM_1023.jpg,960,576,pickup,24,101,906,503
CAM_1024.jpg,960,576,pickup,52,105,931,500
CAM_1025.jpg,960,576,pickup,21,117,914,541
CAM_1026.jpg,960,576,pickup,18,119,881,488
CAM_1027.jpg,960,576,pickup,70,123,960,539
CAM_1028.jpg,960,576,pickup,6,105,939,520
CAM_1030.jpg,960,576,pickup,2,107,887,519
CAM_1031.jpg,960,576,pickup,172,143,960,546
CAM_1032.jpg,960,576,pickup,5,92,926,539
CAM_1033.jpg,960,576,pickup,2,123,935,543
CAM_1034.jpg,960,576,pickup,8,112,758,525
CAM_1035.jpg,960,576,pickup,4,134,931,506
CAM_1036.jpg,960,576,pickup,7,102,947,539
CAM_1037.jpg,960,576,pickup,2,141,876,549
CAM_1038.jpg,960,576,pickup,5,93,939,501
CAM_1039.jpg,960,576,pickup,8,98,950,499
CAM_1040.jpg,960,576,pickup,8,100,957,514
